source_url,source_sheet,source_row,sandbox_version,lookup,sort,weapon_family,ammo_code,ammo_label,archetype,note,body_damage,crit_damage,rpm,shot_delay,burst_delay,sub_burst_delay,charge_ms,shots_per_burst,shots_per_sub,crit_shots,body_shots,optimal_kill,optimal_shots,optimal_ttk_ms,body_ttk_ms,body_forgiveness_count,body_forgiveness_pct,reference_status,verification_policy
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,8,D2 Renegades: 9.5.0.5,Auto_p_Adaptive,1010002,Auto,p,Primary,Adaptive,(Target Lock soon...),15.020305,26.359162,600,3,0,0,0,1,1,9,16,9h0b,9,800,1500,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,9,D2 Renegades: 9.5.0.5,Auto_p_Balanced Heat,1010010,Auto,p,Primary,Balanced Heat,Overclocked Heatsink,20.009533,33.937737,450,4,0,0,0,1,1,7,12,7h0b,7,800,1466.667,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,10,D2 Renegades: 9.5.0.5,Auto_p_High-Impact,1010034,Auto,p,Primary,High-Impact,,23.992328,43.045059,360,5,0,0,0,1,1,6,10,5h1b,6,833,1500,1,0.1667,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,11,D2 Renegades: 9.5.0.5,Auto_p_Lightweight,1010041,Auto,p,Primary,Lightweight,"(The Riposte, not Jiangshi)",13.611927,23.086896,720,2.5,0,0,0,1,1,10,17,10h0b,10,750,1333.333,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,12,D2 Renegades: 9.5.0.5,Auto_p_Precision,1010053,Auto,p,Primary,Precision,,20.009533,33.937737,450,4,0,0,0,1,1,7,12,7h0b,7,800,1466.667,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,13,D2 Renegades: 9.5.0.5,Auto_p_Rapid Fire,1010054,Auto,p,Primary,Rapid Fire,,13.611927,23.086896,720,2.5,0,0,0,1,1,10,17,10h0b,10,750,1333.333,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,14,D2 Renegades: 9.5.0.5,Auto_p_Support,1010064,Auto,p,Primary,Support,,18.844543,26.41931,600,3,0,0,0,1,1,9,13,8h1b,9,800,1200,1,0.1111,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,15,D2 Renegades: 9.5.0.5,Auto_p_Necrochasm,1010149,Auto,p,Primary,Necrochasm,Desperation / (base),13.611927,23.086896,900,2,0,0,0,1,1,10,17,10h0b,10,600,1066.667,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,16,D2 Renegades: 9.5.0.5,Auto_p_Sweet Business,1010165,Auto,p,Primary,Sweet Business,(excluding explosive shots) / Business Time (max RPM),16.471646,25.353417,900,2,0,0,0,1,1,10,14,8h2b,10,600,866.667,2,0.2,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
https://docs.google.com/spreadsheets/d/1FWMC-Vd_bGEoRkkrn3drWIORCFYyWQVMNlMasa4OE6I/edit,WeaponStat Chart,17,D2 Renegades: 9.5.0.5,Auto_p_Tommy's Matchbook,1010171,Auto,p,Primary,Tommy's Matchbook,(excluding scorch) / Ignition Trigger,13.611927,23.086896,720,2.5,0,0,0,1,1,10,17,7h0b,7,500,1333.333,0,0,WeaponStat community reference,Prefer over local DrYamaHiro sheet; re-check against Bungie/API when official numeric changes exist.
